index,class
1159,8
1160,0
1161,6
1162,1
1163,7
1164,9
1165,3
1166,9
1167,6
1168,0
1169,6
1170,8
1171,6
1172,0
1173,8
1174,6
1175,1
1176,9
1177,8
1178,9
1179,7
1180,4
1181,7
1182,7
1183,4
1184,3
1185,2
1186,2
1187,5
1188,0
1189,2
1190,8
1191,6
1192,5
1193,8
1194,8
1195,9
1196,1
1197,1
1198,2
1199,1
1200,7
1201,3
1202,7
1203,9
1204,2
1205,5
1206,6
1207,4
1208,1
1209,9
1210,7
1211,5
1212,9
1213,6
1214,5
1215,0
1216,8
1217,4
1218,2
1219,6
1220,1
1221,0
1222,6
1223,1
1224,1
1225,7
1226,8
1227,8
1228,0
1229,1
1230,4
1231,9
1232,7
1233,1
1234,8
1235,3
1236,2
1237,9
1238,5
1239,1
1240,8
1241,6
1242,8
1243,3
1244,2
1245,2
1246,8
1247,2
1248,4
1249,6
1250,4
1251,5
1252,6
1253,9
1254,6
1255,8
1256,2
1257,0
1258,6
1259,7
1260,9
1261,4
1262,1
1263,4
1264,3
1265,3
1266,4
1267,8
1268,2
1269,6
1270,4
1271,2
1272,4
1273,2
1274,6
1275,6
1276,3
1277,3
1278,4
1279,3
1280,5
1281,7
1282,4
1283,8
1284,6
1285,4
1286,9
1287,2
1288,3
1289,4
1290,8
1291,8
1292,2
1293,1
1294,3
1295,8
1296,4
1297,5
1298,9
1299,1
1300,7
1301,6
1302,6
1303,1
1304,4
1305,6
1306,6
1307,6
1308,1
1309,6
1310,0
1311,8
1312,4
1313,9
1314,7
1315,7
1316,0
1317,3
1318,2
1319,0
1320,6
1321,4
1322,4
1323,3
1324,6
1325,1
1326,0
1327,5
1328,1
1329,5
1330,6
1331,2
1332,0
1333,6
1334,7
1335,9
1336,0
1337,7
1338,6
1339,9
1340,6
1341,0
1342,2
1343,2
1344,4
1345,0
1346,8
1347,6
1348,0
1349,5
1350,1
1351,1
1352,8
1353,4
1354,1
1355,6
1356,1
1357,4
1358,4
1359,4
1360,7
1361,0
1362,8
1363,7
1364,8
1365,9
1366,3
1367,9
1368,6
1369,5
1370,9
1371,5
1372,4
1373,7
1374,0
1375,4
1376,9
1377,6
1378,9
1379,6
1380,5
1381,8
1382,5
1383,7
1384,3
1385,8
1386,0
1387,1
1388,2
1389,1
1390,8
1391,0
1392,8
1393,9
1394,0
1395,7
1396,2
1397,7
1398,6
1399,4
1400,6
1401,7
1402,9
1403,8
1404,0
1405,4
1406,7
1407,5
1408,6
1409,0
1410,7
1411,7
1412,7
1413,6
1414,3
1415,2
1416,8
1417,1
1418,4
1419,6
1420,6
1421,7
1422,5
1423,0
1424,6
1425,1
1426,1
1427,6
1428,7
1429,8
1430,2
1431,8
1432,3
1433,2
1434,7
1435,0
1436,7
1437,9
1438,8
1439,9
1440,9
1441,6
1442,0
1443,7
1444,1
1445,4
1446,7
1447,5
1448,8
1449,3
1450,5
1451,8
1452,8
1453,5
1454,5
1455,6
1456,1
1457,7
1458,0
1459,7
1460,8
1461,3
1462,0
1463,6
1464,9
1465,7
1466,8
1467,1
1468,3
1469,2
1470,5
1471,5
1472,9
1473,3
1474,7
1475,4
1476,8
1477,6
1478,5
1479,5
1480,0
1481,9
1482,3
1483,6
1484,2
1485,1
1486,5
1487,8
1488,9
1489,1
1490,4
1491,1
1492,9
1493,1
1494,9
1495,8
1496,7
1497,7
1498,6
1499,0
1500,4
1501,4
1502,1
1503,1
1504,4
1505,3
1506,1
1507,7
1508,5
1509,3
1510,1
1511,7
1512,8
1513,6
1514,4
1515,1
1516,8
1517,7
1518,7
1519,9
1520,7
1521,7
1522,3
1523,8
1524,4
1525,1
1526,6
1527,5
1528,2
1529,8
1530,1
1531,4
1532,1
1533,5
1534,1
1535,3
1536,0
1537,3
1538,0
1539,9
1540,9
1541,7
1542,3
1543,8
1544,9
1545,0
1546,1
1547,2
1548,8
1549,6
1550,1
1551,7
1552,6
1553,6
1554,7
1555,6
1556,1
1557,7
1558,9
1559,7
1560,0
1561,2
1562,0
1563,9
1564,4
1565,9
1566,3
1567,1
1568,8
1569,1
1570,4
1571,5
1572,0
1573,6
1574,9
1575,1
1576,1
1577,6
1578,7
1579,2
1580,2
1581,2
1582,2
1583,4
1584,8
1585,7
1586,5
1587,6
1588,1
1589,7
1590,6
1591,1
1592,6
1593,5
1594,2
1595,7
1596,8
1597,0
1598,3
1599,6
1600,6
1601,0
1602,3
1603,3
1604,0
1605,3
1606,0
1607,9
1608,1
1609,2
1610,1
1611,3
1612,8
1613,0
1614,2
1615,3
1616,9
1617,4
1618,4
1619,1
1620,8
1621,1
1622,9
1623,5
1624,7
1625,8
1626,6
1627,8
1628,1
1629,2
1630,3
1631,6
1632,9
1633,1
1634,8
1635,4
1636,7
1637,4
1638,8
1639,7
1640,5
1641,4
1642,8
1643,5
1644,9
1645,8
1646,2
1647,7
1648,3
1649,5
1650,4
1651,5
1652,6
1653,5
1654,6
1655,8
1656,5
1657,0
1658,8
1659,7
1660,4
1661,2
1662,9
1663,9
1664,8
1665,9
1666,4
1667,6
1668,8
1669,4
1670,1
1671,8
1672,6
1673,0
1674,0
1675,9
1676,5
1677,5
1678,9
1679,4
1680,7
1681,5
1682,3
1683,0
1684,0
1685,6
1686,4
1687,1
1688,9
1689,6
1690,7
1691,7
1692,5
1693,7
1694,8
1695,5
1696,0
1697,0
1698,6
1699,3
1700,6
1701,6
1702,5
1703,0
1704,6
1705,8
1706,0
1707,4
1708,3
1709,6
1710,9
1711,5
1712,6
1713,8
1714,3
1715,8
1716,0
1717,9
1718,5
1719,8
1720,2
1721,9
1722,7
1723,6
1724,7
1725,3
1726,3
1727,3
1728,2
1729,1
1730,2
1731,6
1732,3
1733,1
1734,5
1735,7
1736,2
1737,2
1738,5
1739,4
1740,5
1741,7
1742,4
1743,6
1744,3
1745,5
1746,7
1747,4
1748,3
1749,8
1750,7
1751,5
1752,1
1753,4
1754,6
1755,6
1756,2
1757,0
1758,1
1759,5
1760,0
1761,4
1762,4
1763,8
1764,2
1765,0
1766,3
1767,3
1768,3
1769,6
1770,1
1771,4
1772,6
1773,9
1774,3
1775,7
1776,3
1777,0
1778,8
1779,3
1780,6
1781,8
1782,1
1783,5
1784,9
1785,4
1786,9
1787,1
1788,9
1789,3
1790,8
1791,8
1792,6
1793,1
1794,5
1795,4
1796,4
1797,4
1798,2
1799,6
1800,3
1801,9
1802,2
1803,0
1804,9
1805,2
1806,3
1807,9
1808,6
1809,1
1810,2
1811,0
1812,0
1813,7
1814,0
1815,7
1816,9
1817,1
1818,6
1819,4
1820,3
1821,6
1822,7
1823,9
1824,7
1825,6
1826,1
1827,1
1828,5
1829,8
1830,7
1831,3
1832,3
1833,5
1834,0
1835,7
1836,7
1837,3
1838,6
1839,7
1840,9
1841,6
1842,6
1843,5
1844,4
1845,2
1846,6
1847,1
1848,7
1849,0
1850,2
1851,9
1852,2
1853,6
1854,2
1855,5
1856,2
1857,7
1858,2
1859,6
1860,9
1861,9
1862,6
1863,3
1864,2
1865,7
1866,1
1867,0
1868,1
1869,7
1870,3
1871,7
1872,6
1873,5
1874,8
1875,4
1876,6
1877,6
1878,4
1879,7
1880,5
1881,8
1882,8
1883,1
1884,2
1885,4
1886,5
1887,0
1888,6
1889,4
1890,1
1891,2
1892,8
1893,6
1894,3
1895,7
1896,5
1897,3
1898,5
1899,6
1900,8
1901,2
1902,0
1903,1
1904,2
1905,2
1906,7
1907,0
1908,1
1909,1
1910,5
1911,1
1912,5
1913,5
1914,6
1915,5
1916,7
1917,6
1918,6
1919,0
1920,8
1921,0
1922,7
1923,1
1924,8
1925,8
1926,5
1927,6
1928,4
1929,0
1930,0
1931,1
1932,4
1933,8
1934,1
1935,7
1936,0
1937,7
1938,5
1939,1
1940,5
1941,2
1942,9
1943,0
1944,3
1945,2
1946,4
1947,9
1948,5
1949,9
1950,3
1951,9
1952,9
1953,9
1954,7
1955,7
1956,6
1957,3
1958,8
1959,6
1960,7
1961,8
1962,1
1963,1
1964,2
1965,8
1966,4
1967,8
1968,3
1969,8
1970,9
1971,0
1972,5
1973,3
1974,2
1975,3
1976,5
1977,8
1978,9
1979,2
1980,5
1981,7
1982,9
1983,5
1984,9
1985,0
1986,9
1987,0
1988,0
1989,5
1990,2
1991,5
1992,8
1993,3
1994,8
1995,7
1996,7
1997,8
1998,2
1999,5
2000,4
2001,5
2002,9
2003,5
2004,2
2005,5
2006,4
2007,6
2008,3
2009,4
2010,2
2011,1
2012,5
2013,7
2014,6
2015,2
2016,5
2017,8
2018,5
2019,6
2020,4
2021,1
2022,6
2023,2
2024,8
2025,5
2026,8
2027,9
2028,7
2029,6
2030,8
2031,7
2032,3
2033,1
2034,4
2035,9
2036,9
2037,0
2038,3
2039,0
2040,7
2041,8
2042,9
2043,4
2044,3
2045,1
2046,4
2047,8
2048,1
2049,2
2050,7
2051,8
2052,0
2053,3
2054,2
2055,1
2056,0
2057,5
2058,2
2059,3
2060,7
2061,2
2062,6
2063,4
2064,0
2065,0
2066,8
2067,7
2068,3
2069,6
2070,8
2071,8
2072,1
2073,5
2074,3
2075,3
2076,9
2077,9
2078,2
2079,2
2080,6
2081,0
2082,6
2083,6
2084,9
2085,8
2086,3
2087,8
2088,7
2089,6
2090,6
2091,5
2092,6
2093,5
2094,4
2095,1
2096,0
2097,2
2098,4
2099,3
2100,9
2101,9
2102,6
2103,3
2104,6
2105,8
2106,9
2107,7
2108,4
2109,9
2110,6
2111,2
2112,1
2113,6
2114,9
2115,3
2116,1
2117,6
2118,7
2119,1
2120,9
2121,7
2122,1
2123,7
2124,8
2125,7
2126,6
2127,3
2128,9
2129,7
2130,6
2131,1
2132,9
2133,6
2134,2
2135,7
2136,0
2137,6
2138,3
2139,1
2140,6
2141,8
2142,0
2143,6
2144,2
2145,8
2146,8
2147,9
2148,8
2149,4
2150,1
2151,1
2152,2
2153,1
2154,4
2155,2
2156,9
2157,3
2158,5
2159,1
2160,6
2161,0
2162,1
2163,8
2164,5
2165,1
2166,0
2167,5
2168,4
2169,5
2170,0
2171,6
2172,5
2173,6
2174,9
2175,0
2176,7
2177,0
2178,1
2179,3
2180,6
2181,9
2182,8
2183,9
2184,3
2185,9
2186,5
2187,7
2188,8
2189,0
2190,4
2191,4
2192,8
2193,9
2194,6
2195,2
2196,6
2197,9
2198,6
2199,9
2200,7
2201,9
2202,7
2203,5
2204,8
2205,9
2206,8
2207,9
2208,1
2209,8
2210,4
2211,6
2212,8
2213,9
2214,6
2215,9
2216,0
2217,0
2218,8
2219,3
2220,3
2221,8
2222,6
2223,1
2224,9
2225,8
2226,2
2227,1
2228,3
2229,8
2230,5
2231,3
2232,1
2233,9
2234,9
2235,5
2236,8
2237,2
2238,9
2239,7
2240,4
2241,7
2242,0
2243,4
2244,1
2245,3
2246,4
2247,4
2248,4
2249,9
2250,8
2251,6
2252,2
2253,8
2254,9
2255,1
2256,3
2257,5
2258,4
2259,7
2260,1
2261,0
2262,8
2263,6
2264,6
2265,6
2266,7
2267,5
2268,9
2269,1
2270,1
2271,2
2272,0
2273,1
2274,9
2275,9
2276,6
2277,5
2278,2
2279,1
2280,3
2281,8
2282,5
2283,5
2284,4
2285,5
2286,8
2287,8
2288,1
2289,2
2290,8
2291,7
2292,3
2293,2
2294,8
2295,3
2296,8
2297,2
2298,7
2299,9
2300,5
2301,6
2302,6
2303,6
2304,0
2305,2
2306,1
2307,5
2308,9
2309,1
2310,7
2311,2
2312,3
2313,2
2314,8
2315,1
2316,5
2317,3
2318,6
2319,0
2320,4
2321,4
2322,6
2323,9
2324,3
2325,2
2326,0
2327,4
2328,5
2329,6
2330,5
2331,1
2332,5
2333,4
2334,0
2335,5
2336,9
2337,7
2338,1
2339,0
2340,1
2341,4
2342,8
2343,8
2344,5
2345,6
2346,3
2347,8
2348,6
2349,6
2350,8
2351,8
2352,6
2353,6
2354,9
2355,2
2356,9
2357,5
2358,8
2359,9
2360,9
2361,2
2362,0
2363,4
2364,5
2365,2
2366,2
2367,2
2368,0
2369,6
2370,0
2371,8
2372,2
2373,9
2374,6
2375,1
2376,1
2377,2
2378,4
2379,4
2380,9
2381,2
2382,9
2383,9
2384,8
2385,3
2386,0
2387,9
2388,4
2389,5
2390,9
2391,1
2392,3
2393,4
2394,6
2395,7
2396,2
2397,5
2398,6
2399,0
2400,5
2401,9
2402,2
2403,3
2404,2
2405,8
2406,1
2407,5
2408,1
2409,4
2410,5
2411,8
2412,3
2413,4
2414,3
2415,6
2416,3
2417,6
2418,5
2419,1
2420,1
2421,6
2422,6
2423,5
2424,0
2425,6
2426,7
2427,7
2428,4
2429,3
2430,1
2431,5
2432,7
2433,8
2434,3
2435,8
2436,6
2437,1
2438,7
2439,3
2440,1
2441,8
2442,8
2443,6
2444,7
2445,4
2446,3
2447,4
2448,8
2449,9
2450,4
2451,6
2452,5
2453,2
2454,3
2455,5
2456,1
2457,8
2458,1
2459,8
2460,5
2461,5
2462,4
2463,2
2464,2
2465,6
2466,6
2467,9
2468,3
2469,8
2470,6
2471,7
2472,8
2473,6
2474,1
2475,5
2476,1
2477,8
2478,6
2479,2
2480,8
2481,8
2482,2
2483,1
2484,4
2485,9
2486,2
2487,8
2488,1
2489,8
2490,4
2491,9
2492,0
2493,0
2494,5
2495,6
2496,7
2497,3
2498,2
2499,5
2500,2
2501,7
2502,6
2503,2
2504,0
2505,0
2506,8
2507,7
2508,4
2509,7
2510,5
2511,1
2512,6
2513,6
2514,1
2515,9
2516,5
2517,5
2518,0
2519,0
2520,0
2521,2
2522,2
2523,3
2524,6
2525,7
2526,9
2527,2
2528,5
2529,9
2530,1
2531,4
2532,8
2533,5
2534,6
2535,4
2536,4
2537,5
2538,9
2539,3
2540,1
2541,9
2542,5
2543,5
2544,1
2545,9
2546,4
2547,6
2548,8
2549,8
2550,5
2551,6
2552,1
2553,7
2554,1
2555,1
2556,2
2557,4
2558,9
2559,5
2560,7
2561,9
2562,1
2563,3
2564,8
2565,3
2566,1
2567,3
2568,4
2569,9
2570,2
2571,7
2572,1
2573,1
2574,0
2575,0
2576,4
2577,1
2578,2
2579,0
2580,0
2581,9
2582,2
2583,2
2584,1
2585,6
2586,7
2587,7
2588,4
2589,7
2590,9
2591,3
2592,2
2593,4
2594,7
2595,2
2596,8
2597,6
2598,6
2599,8
2600,4
2601,2
2602,1
2603,0
2604,9
2605,8
2606,3
2607,7
2608,7
2609,1
2610,9
2611,6
2612,5
2613,0
2614,5
2615,0
2616,7
2617,7
2618,1
2619,3
2620,1
2621,2
2622,1
2623,3
2624,9
2625,5
2626,3
2627,6
2628,4
2629,1
2630,3
2631,9
2632,1
2633,1
2634,6
2635,5
2636,9
2637,0
2638,2
2639,8
2640,8
2641,7
2642,8
2643,0
2644,2
2645,2
2646,0
2647,2
2648,4
2649,9
2650,1
2651,8
2652,9
2653,4
2654,4
2655,5
2656,7
2657,4
2658,1
2659,5
2660,8
2661,9
2662,9
2663,0
2664,5
2665,9
2666,6
2667,0
2668,3
2669,2
2670,0
2671,9
2672,0
2673,7
2674,7
2675,5
2676,0
2677,7
2678,7
2679,3
2680,3
2681,8
2682,5
2683,5
2684,1
2685,2
2686,9
2687,0
2688,8
2689,1
2690,5
2691,4
2692,8
2693,2
2694,9
2695,8
2696,7
2697,5
2698,0
2699,8
2700,7
2701,8
2702,1
2703,2
2704,2
2705,0
2706,6
2707,6
2708,9
2709,6
2710,4
2711,7
2712,4
2713,5
2714,6
2715,4
2716,1
2717,7
2718,5
2719,9
2720,4
2721,7
2722,6
2723,4
2724,4
2725,4
2726,0
2727,3
2728,5
2729,7
2730,9
2731,7
2732,5
2733,4
2734,0
2735,8
2736,3
2737,4
2738,5
2739,2
2740,5
2741,7
2742,4
2743,4
2744,0
2745,4
2746,9
2747,5
2748,9
2749,3
2750,8
2751,4
2752,7
2753,4
2754,5
2755,7
2756,7
2757,6
2758,7
2759,6
2760,9
2761,2
2762,1
2763,8
2764,5
2765,5
2766,1
2767,2
2768,7
2769,4
2770,3
2771,2
2772,3
2773,9
2774,8
2775,5
2776,4
2777,1
2778,7
2779,7
2780,2
2781,7
2782,2
2783,1
2784,1
2785,1
2786,9
2787,3
2788,0
2789,1
2790,5
2791,6
2792,1
2793,6
2794,5
2795,3
2796,3
2797,4
2798,6
2799,1
2800,2
2801,2
2802,1
2803,8
2804,3
2805,5
2806,1
2807,6
2808,4
2809,1
2810,9
2811,1
2812,1
2813,7
2814,6
2815,9
2816,8
2817,1
2818,8
2819,9
2820,9
2821,6
2822,3
2823,1
2824,1
2825,1
2826,8
2827,6
2828,9
2829,6
2830,1
2831,7
2832,1
2833,1
2834,7
2835,5
2836,0
2837,0
2838,9
2839,6
2840,6
2841,1
2842,4
2843,3
2844,4
2845,6
2846,6
2847,3
2848,8
2849,9
2850,4
2851,6
2852,7
2853,7
2854,4
2855,9
2856,4
2857,8
2858,1
2859,2
2860,4
2861,3
2862,4
2863,9
2864,3
2865,1
2866,4
2867,2
2868,6
2869,4
2870,9
2871,4
2872,1
2873,6
2874,7
2875,4
2876,5
2877,7
2878,6
2879,9
2880,2
2881,6
2882,5
2883,5
2884,8
2885,8
2886,7
2887,2
2888,0
2889,0
2890,9
2891,0
2892,6
2893,7
2894,3
2895,5
2896,9
2897,4
2898,6
2899,6
2900,2
2901,7
2902,7
2903,2
2904,5
2905,4
2906,9
2907,9
2908,6
2909,1
2910,7
2911,2
2912,6
2913,4
2914,3
2915,1
2916,5
2917,9
2918,4
2919,9
2920,7
2921,2
2922,2
2923,7
2924,6
2925,5
2926,0
2927,3
2928,9
2929,8
2930,3
2931,3
2932,6
2933,7
2934,4
2935,1
2936,7
2937,2
2938,8
2939,6
2940,9
2941,7
2942,5
2943,9
2944,5
2945,3
2946,9
2947,8
2948,8
2949,7
2950,3
2951,5
2952,3
2953,3
2954,5
2955,9
2956,1
2957,9
2958,4
2959,4
2960,2
2961,2
2962,6
2963,7
2964,8
2965,0
2966,8
2967,3
2968,5
2969,6
2970,6
2971,8
2972,9
2973,5
2974,9
2975,6
2976,7
2977,3
2978,9
2979,3
2980,4
2981,8
2982,4
2983,0
2984,5
2985,6
2986,4
2987,3
2988,4
2989,5
2990,4
2991,4
2992,9
2993,3
2994,7
2995,1
2996,2
2997,3
